date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:33	10381/10381	---M-Z	200	added ('OK')	text/html	etag:%22288d-59924e05045ef-gzip%22	https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html	(from )
16:44:34	559/559	---M--	405	error ('Method%20Not%20Allowed')	text/html	date:Tue,%2031%20Aug%202021%2015:44:35%20GMT	https://lyst-club.no/robots.txt		(from )
16:44:35	55183/55183	---MCZ	200	added ('OK')	text/css	etag:W/%2277cbad34e5ce95e70847b074e05faeab%22	https://use.fontawesome.com/releases/v5.8.2/css/all.css	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/use.fontawesome.com/releases/v5.8.2/css/all.css	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:36	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-59924e050076e-gzip%22	https://lyst-club.no/assets/lib/carousel3d/css/bootstrap.min.css	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/css/bootstrap.min.css	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:37	258705/258705	---M-Z	200	added ('OK')	text/css	etag:%223f291-59924e050170e-gzip%22	https://lyst-club.no/assets/lib/carousel3d/css/mdb.min.css	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/css/mdb.min.css	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:38	1886/1886	---M-Z	200	added ('OK')	text/css	etag:%2275e-59924e04ff7ce-gzip%22	https://lyst-club.no/assets/lib/carousel3d/css/addons/mdb-carousel-3d.min.css	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/css/addons/mdb-carousel-3d.min.css	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:38	0/0	---M--	200	added ('OK')	text/css	etag:%220-59924e05026ae%22	https://lyst-club.no/assets/lib/carousel3d/css/style.css	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/css/style.5.delayed	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:40	6467/6467	---M--	200	added ('OK')	image/png	etag:%225da9ae8e-1943%22	https://mdbootstrap.com/wp-content/uploads/2018/06/logo-mdb-jquery-small.png	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/wp-content/uploads/2018/06/logo-mdb-jquery-small.png	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:44	270538/270538	---M--	200	added ('OK')	image/jpeg	etag:%225da9c7a8-420ca%22	https://mdbootstrap.com/img/Photos/Slides/img%20(45).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(45).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:52	199703/199703	---M--	200	added ('OK')	image/jpeg	etag:%225da9c792-30c17%22	https://mdbootstrap.com/img/Photos/Slides/img%20(46).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(46).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:53	245097/245097	---M--	200	added ('OK')	image/jpeg	etag:%225da9c7ae-3bd69%22	https://mdbootstrap.com/img/Photos/Slides/img%20(47).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(47).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:57	177123/177123	---M--	200	added ('OK')	image/jpeg	etag:%225da9c79b-2b3e3%22	https://mdbootstrap.com/img/Photos/Slides/img%20(49).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(49).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:44:59	114695/114695	---M--	200	added ('OK')	image/jpeg	etag:%225da9c7a7-1c007%22	https://mdbootstrap.com/img/Photos/Slides/img%20(50).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(50).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:02	294626/294626	---M--	200	added ('OK')	image/jpeg	etag:%225da9c7e0-47ee2%22	https://mdbootstrap.com/img/Photos/Slides/img%20(48).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(48).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:05	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%2215851-59924e05074cf-gzip%22	https://lyst-club.no/assets/lib/carousel3d/js/jquery-3.4.1.min.js	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/js/jquery-3.4.1.min.js	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:05	136068/136068	---M--	200	added ('OK')	image/jpeg	etag:%225da9c7be-21384%22	https://mdbootstrap.com/img/Photos/Slides/img%20(53).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(53).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:06	281133/281133	---M--	200	added ('OK')	image/jpeg	etag:%225da9c77b-44a2d%22	https://mdbootstrap.com/img/Photos/Slides/img%20(51).jpg	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/mdbootstrap.com/img/Photos/Slides/img%20(51).jpg	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:06	20537/20537	---M-Z	200	added ('OK')	application/javascript	etag:%225039-59924e050c2f0-gzip%22	https://lyst-club.no/assets/lib/carousel3d/js/popper.min.js	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/js/popper.min.js	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
16:45:07	58072/58072	---M-Z	200	added ('OK')	application/javascript	etag:%22e2d8-59924e050652f-gzip%22	https://lyst-club.no/assets/lib/carousel3d/js/bootstrap.min.js	C:/Users/sid/Documents/Nouveau%20dossier/https___lyst-club.no_assets_lib_carousel3d_html_mdbCarousel3d.html/lyst-club.no/assets/lib/carousel3d/js/bootstrap.min.js	(from https://lyst-club.no/assets/lib/carousel3d/html/mdbCarousel3d.html)
